id,Title,Type,Date,Source,link,scanned,multilingual
33,Statement delivered on behalf of the Group of Friends of the Responsibility to Protect at the special session of the Human Rights Council on the human rights situation in Myanmar,Official Statement,2017-12-05 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-HRC-SSMyanmar-GOF.pdf,False,False
34,"Statement by the UN Special Adviser on the Prevention of Genocide on the conviction of Ratko Mladić for genocide, war crimes and crimes against humanity, November 2017",Official Statement,2017-11-22 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2017-Nov-SAStatement-Mladic.pdf,False,False
35,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the situation in northern Rakhine state, Myanmar, October 2017",Official Statement,2017-10-19 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2017-Oct-SAStatement-Myanmar.pdf,False,False
36,"Statement by the UN Special Adviser on the Prevention of Genocide on his visit to the Central African Republic, October 2017",Official Statement,2017-10-11 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2017-Oct-SAStatement-CAR-EN.pdf,False,False
37,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the situation in Yemen, September 2017",Official Statement,2017-09-19 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/201Sep-SAStatement-Yemen.pdf,False,False
38,Statement on behalf of the Group of Friends of R2P at 36th Session of the Human Rights Council,Official Statement,2017-09-12 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-HRC36-GOF-Item2.pdf,False,False
39,Statement by Botswana at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-07 00:00:00,Botswana,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Botswana.pdf,True,False
40,Statement by Germany at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-07 00:00:00,Germany,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Germany.pdf,False,False
41,Statement by China at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,China,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-China.pdf,False,False
42,Statement by Chile at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Chile,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Chile-En.pdf,False,False
43,Statement by Canada at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Canada,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Canada.pdf,False,False
44,Statement by Brazil at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Brazil,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Brazil.pdf,True,False
45,Statement by Bolivia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Bolivia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Bolivia.pdf,False,False
46,Statement by Belgium at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Belgium,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Belgium.pdf,False,False
47,Statement by Belarus at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Belarus,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Belarus-En.pdf,False,False
48,Statement by Mexico at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Mexico,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Mexico.pdf,True,False
49,Statement by Luxembourg at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Luxembourg,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Luxembourg.pdf,True,False
50,Statement by Liechtenstein at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Liechtenstein,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Liechtenstein.pdf,False,False
51,Statement by Latvia on behalf of the Baltic states at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Latvia (on behalf of Estonia and Lithuania),https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-latvia-on-behalf-of-estonia-lithuania.pdf,True,False
52,Statement by Kazakhstan at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Kazakhstan,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Kazakhstan.pdf,False,False
53,Statement by Japan at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Japan,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Japan.pdf,False,False
54,Statement by Italy at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Italy,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Italy.pdf,False,False
55,Statement by Israel at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Israel,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Israel.pdf,False,False
56,Statement by Bangladesh at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Bangladesh,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Bangladesh.pdf,False,False
57,Statement by Azerbaijan at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Azerbaijan,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Azerbaijan.pdf,True,False
58,Statement by Australia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Australia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Australia.pdf,False,False
59,Statement by Armenia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Armenia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Armenia.pdf,True,False
60,Statement by Argentina at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Argentina,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Argentina-En.pdf,False,False
61,Statement by Andorra at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Andorra,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Andorra-En.pdf,False,False
62,Statement by Spain at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Spain,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Spain-En.pdf,False,False
63,Statement by South Africa at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,South Africa,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-South-Africa.pdf,True,False
64,Statement by Slovenia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Slovenia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Slovenia.pdf,True,False
65,Statement by Slovakia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Slovakia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Slovakia.pdf,True,False
66,Statement by Saudi Arabia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Saudi Arabia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Saudi-Arabia.pdf,False,False
67,Statement by Rwanda at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Rwanda,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Rwanda.pdf,False,False
68,Statement by Qatar at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Qatar,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Qatar-En.pdf,False,False
69,Statement by Peru at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Peru,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Peru-En.pdf,False,False
70,Statement by Ireland at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Ireland,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Ireland.pdf,False,False
71,Statement by Venezuela at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Venezuela,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Venezuela-En.pdf,False,False
72,Statement by Vanuatu at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Vanuatu,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Vanuatu.pdf,False,False
73,Statement by Iraq at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Iraq,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Iraq-En.pdf,False,False
74,Statement by Paraguay at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Paraguay,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Paraguay-En.pdf,False,False
75,Statement by Iran at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Iran,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Iran.pdf,False,False
76,Statement by Panama at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Pakistan,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Pakistan-1.pdf,True,False
77,Statement by India at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,India,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-India.pdf,False,False
78,Statement by Uruguay at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Uruguay,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Uruguay-En.pdf,False,False
79,Statement by ICRtoP at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,International Coalition for the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-ICRtoP.pdf,True,False
80,Statement by Ukraine at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Ukraine,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Ukraine.pdf,False,False
81,Statement by Pakistan at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Pakistan,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Pakistan.pdf,True,False
82,Statement by Hungary at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Hungary,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Hungary.pdf,True,False
83,Statement by Turkey at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Turkey,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Turkey.pdf,False,False
84,Statement by the United States at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,United States,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-US.pdf,False,False
85,Statement by Haiti at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Haiti,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Haiti-En.pdf,False,False
86,Statement by Guatemala at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Guatemala,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Guatemala.pdf,False,False
87,Statement by the United Kingdom at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,United Kingdom,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-UK.pdf,False,False
88,Statement by Ghana at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Ghana,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Ghana.pdf,False,False
89,"Statement by the UN Secretary-General, Mr. Antonio Guterres, at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect",Official Statement,2017-09-06 00:00:00,UN Secretary-General,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-UNSG.pdf,False,False
90,Statement by the Solomon Islands at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Solomon Islands,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Solomon-Islands.pdf,True,False
91,Statement by Georgia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Georgia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Georgia.pdf,False,False
92,Statement by the Russian Federation at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Russia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Russia.pdf,True,False
93,Statement by the Republic of Korea at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Republic of Korea,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-ROK.pdf,False,False
94,Statement by France at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,France,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-France-En.pdf,False,False
95,Statement by European Union at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,EU,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-EU.pdf,True,False
96,Statement by Norway on behalf of the Nordic states at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Finland,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Norway-on-behalf-of-Denmark-Finland-Iceland-Sweden.pdf,True,False
97,"Statement by the President of the General Assembly, Mr. Peter Thomson, at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect",Official Statement,2017-09-06 00:00:00,President of the UN General Assembly,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-PGA.pdf,False,False
98,Statement by Egypt at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Egypt,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Egypt.pdf,True,False
99,Statement by the Philippines at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Philippines,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Philippines.pdf,True,False
100,Statement delivered on behalf of the Group of Friends of R2P at the 2017 UN General Assembly informal interactive dialogue on R2P,Official Statement,2017-09-06 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-GOF.pdf,False,False
101,Statement by Nigeria at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Nigeria,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Nigeria.pdf,True,False
102,Statement by the Holy See at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Holy See,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Holy-See.pdf,False,False
103,Statement by Nicaragua at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Nicaragua,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Nicaragua-En.pdf,False,False
